     2    0.10861E+04    0.52449E-01    0.35661E+01
     3    0.10273E+04    0.87371E-01    0.44340E+01
     4    0.96828E+03    0.10070E+00    0.45693E+01
     5    0.92152E+03    0.91962E-01    0.42618E+01
     6    0.88721E+03    0.70244E-01    0.37391E+01
     7    0.86333E+03    0.46286E-01    0.31489E+01
     8    0.84731E+03    0.27371E-01    0.25782E+01
     9    0.83766E+03    0.15903E-01    0.20788E+01
    10    0.83298E+03    0.10656E-01    0.16796E+01
    11    0.83204E+03    0.89310E-02    0.13900E+01
    12    0.83447E+03    0.83922E-02    0.12073E+01
    13    0.83894E+03    0.77585E-02    0.11167E+01
    14    0.84506E+03    0.68906E-02    0.10986E+01
    15    0.85267E+03    0.60807E-02    0.11313E+01
    16    0.86159E+03    0.56275E-02    0.11942E+01
    17    0.87164E+03    0.56427E-02    0.12699E+01
    18    0.88200E+03    0.59716E-02    0.13455E+01
    19    0.89395E+03    0.64299E-02    0.14155E+01
    20    0.90621E+03    0.69142E-02    0.14748E+01
    21    0.91896E+03    0.74072E-02    0.15247E+01
    22    0.93219E+03    0.80051E-02    0.15673E+01
    23    0.94570E+03    0.88124E-02    0.16050E+01
    24    0.95961E+03    0.98846E-02    0.16408E+01
    25    0.97391E+03    0.11245E-01    0.16781E+01
    26    0.98846E+03    0.12864E-01    0.17210E+01
    27    0.10034E+04    0.14703E-01    0.17670E+01
    28    0.10185E+04    0.16748E-01    0.18137E+01
    29    0.10339E+04    0.18987E-01    0.18603E+01
    30    0.10496E+04    0.21421E-01    0.19043E+01
    31    0.10653E+04    0.24053E-01    0.19427E+01
    32    0.10814E+04    0.26873E-01    0.19725E+01
    33    0.10977E+04    0.29874E-01    0.19917E+01
    34    0.11143E+04    0.33061E-01    0.19993E+01
    35    0.11310E+04    0.36442E-01    0.19948E+01
    36    0.11480E+04    0.40034E-01    0.19772E+01
    37    0.11651E+04    0.43865E-01    0.19474E+01
    38    0.11825E+04    0.47961E-01    0.19081E+01
    39    0.12001E+04    0.52319E-01    0.18594E+01
    40    0.12178E+04    0.56930E-01    0.18003E+01
    41    0.12358E+04    0.61797E-01    0.17297E+01
    42    0.12538E+04    0.66937E-01    0.16476E+01
    43    0.12720E+04    0.72369E-01    0.15540E+01
    44    0.12902E+04    0.78101E-01    0.14500E+01
    45    0.13088E+04    0.84148E-01    0.13366E+01
    46    0.13278E+04    0.90520E-01    0.12126E+01
    47    0.13469E+04    0.97194E-01    0.10772E+01
    48    0.13660E+04    0.10414E+00    0.93239E+00
    49    0.13853E+04    0.11131E+00    0.77965E+00
    50    0.14050E+04    0.11866E+00    0.61358E+00
    51    0.14248E+04    0.12612E+00    0.42824E+00
    52    0.14450E+04    0.13382E+00    0.22110E+00
    53    0.14652E+04    0.14194E+00   -0.77142E-02
    54    0.14853E+04    0.15051E+00   -0.25009E+00
    55    0.15055E+04    0.15956E+00   -0.49780E+00
    56    0.15262E+04    0.16896E+00   -0.74988E+00
    57    0.15471E+04    0.17858E+00   -0.10082E+01
    58    0.15684E+04    0.18838E+00   -0.12764E+01
    59    0.15898E+04    0.19835E+00   -0.15584E+01
    60    0.16114E+04    0.20851E+00   -0.18564E+01
    61    0.16335E+04    0.21892E+00   -0.21719E+01
    62    0.16554E+04    0.22960E+00   -0.25047E+01
    63    0.16775E+04    0.24056E+00   -0.28539E+01
    64    0.17000E+04    0.25186E+00   -0.32188E+01
    65    0.17224E+04    0.26352E+00   -0.35982E+01
    66    0.17453E+04    0.27551E+00   -0.39888E+01
    67    0.17682E+04    0.28779E+00   -0.43883E+01
    68    0.17917E+04    0.30036E+00   -0.47960E+01
    69    0.18153E+04    0.31312E+00   -0.52111E+01
    70    0.18393E+04    0.32608E+00   -0.56360E+01
    71    0.18635E+04    0.33917E+00   -0.60741E+01
    72    0.18878E+04    0.35241E+00   -0.65271E+01
    73    0.19124E+04    0.36580E+00   -0.69957E+01
    74    0.19370E+04    0.37936E+00   -0.74793E+01
    75    0.19619E+04    0.39316E+00   -0.79766E+01
    76    0.19869E+04    0.40722E+00   -0.84869E+01
    77    0.20122E+04    0.42150E+00   -0.90089E+01
    78    0.20378E+04    0.43601E+00   -0.95421E+01
    79    0.20636E+04    0.45064E+00   -0.10081E+02
    80    0.20897E+04    0.46537E+00   -0.10627E+02
    81    0.21162E+04    0.48012E+00   -0.11177E+02
    82    0.21429E+04    0.49493E+00   -0.11733E+02
    83    0.21699E+04    0.50981E+00   -0.12297E+02
    84    0.21971E+04    0.52478E+00   -0.12868E+02
    85    0.22245E+04    0.53985E+00   -0.13451E+02
    86    0.22521E+04    0.55505E+00   -0.14044E+02
    87    0.22801E+04    0.57034E+00   -0.14647E+02
    88    0.23080E+04    0.58572E+00   -0.15259E+02
    89    0.23363E+04    0.60116E+00   -0.15880E+02
    90    0.23649E+04    0.61661E+00   -0.16507E+02
    91    0.23935E+04    0.63204E+00   -0.17138E+02
    92    0.24225E+04    0.64744E+00   -0.17774E+02
    93    0.24518E+04    0.66281E+00   -0.18413E+02
    94    0.24812E+04    0.67809E+00   -0.19055E+02
    95    0.25108E+04    0.69331E+00   -0.19701E+02
    96    0.25405E+04    0.70843E+00   -0.20350E+02
    97    0.25706E+04    0.72346E+00   -0.21001E+02
    98    0.26010E+04    0.73837E+00   -0.21652E+02
    99    0.26314E+04    0.75314E+00   -0.22307E+02
   100    0.26621E+04    0.76777E+00   -0.22960E+02
   101    0.26930E+04    0.78231E+00   -0.23615E+02
   102    0.27243E+04    0.79662E+00   -0.24269E+02
