  1  1  1        0.0000000000        0.0000000000        0.0000000000
  2  1  1        0.0000000000        0.0000000000        0.0000000000
  3  1  1       -0.0034713091        0.0000000000        0.0000000000
  4  1  1       -0.0037998919        0.0000000000        0.0000000000
  5  1  1       -0.0038236635        0.0000000000        0.0000000000
  6  1  1       -0.0024652110        0.0000000000        0.0000000000
  1  2  1        0.0000000000        0.0000000000        0.0000000000
  2  2  1       -0.0029358703       -0.0029358703       -0.0006660670
  3  2  1       -0.0034267476       -0.0019972354        0.0000000000
  4  2  1       -0.0035991249       -0.0015024893        0.0000000000
  5  2  1       -0.0035330866       -0.0009278215        0.0000000000
  6  2  1       -0.0023452558       -0.0004314705        0.0000000000
  1  3  1        0.0000000000       -0.0034713091        0.0000000000
  2  3  1       -0.0019972354       -0.0034267476        0.0000000000
  3  3  1       -0.0028963510       -0.0028963510        0.0000000000
  4  3  1       -0.0029860881       -0.0022399973        0.0000000000
  5  3  1       -0.0027705948       -0.0014314161        0.0000000000
  6  3  1       -0.0019876015       -0.0007533269        0.0000000000
  1  4  1        0.0000000000       -0.0037998919        0.0000000000
  2  4  1       -0.0015024893       -0.0035991249        0.0000000000
  3  4  1       -0.0022399973       -0.0029860881        0.0000000000
  4  4  1       -0.0022524164       -0.0022524164        0.0000000000
  5  4  1       -0.0019959740       -0.0015170079        0.0000000000
  6  4  1       -0.0015686965       -0.0009170878        0.0000000000
  1  5  1        0.0000000000       -0.0038236635        0.0000000000
  2  5  1       -0.0009278215       -0.0035330866        0.0000000000
  3  5  1       -0.0014314161       -0.0027705948        0.0000000000
  4  5  1       -0.0015170079       -0.0019959740        0.0000000000
  5  5  1       -0.0013838871       -0.0013838871        0.0000000000
  6  5  1       -0.0011884647       -0.0009373490        0.0000000000
  1  6  1        0.0000000000       -0.0024652110        0.0000000000
  2  6  1       -0.0004314705       -0.0023452558        0.0000000000
  3  6  1       -0.0007533269       -0.0019876015        0.0000000000
  4  6  1       -0.0009170878       -0.0015686965        0.0000000000
  5  6  1       -0.0009373490       -0.0011884647        0.0000000000
  6  6  1       -0.0008833454       -0.0008833454        0.0000000000
  1  1  2        0.0000000000        0.0000000000        0.0000000000
  2  1  2       -0.0029358703       -0.0006660670       -0.0029358703
  3  1  2       -0.0034267476        0.0000000000       -0.0019972354
  4  1  2       -0.0035991249        0.0000000000       -0.0015024893
  5  1  2       -0.0035330866        0.0000000000       -0.0009278215
  6  1  2       -0.0023452558        0.0000000000       -0.0004314705
  1  2  2       -0.0006660670       -0.0029358703       -0.0029358703
  2  2  2       -0.0026372765       -0.0026372765       -0.0026372765
  3  2  2       -0.0032250605       -0.0018389654       -0.0018389654
  4  2  2       -0.0033667178       -0.0013690820       -0.0013690820
  5  2  2       -0.0032470564       -0.0008453773       -0.0008453773
  6  2  2       -0.0022161767       -0.0004122385       -0.0004122385
  1  3  2        0.0000000000       -0.0034267476       -0.0019972354
  2  3  2       -0.0018389654       -0.0032250605       -0.0018389654
  3  3  2       -0.0026905487       -0.0026905487       -0.0014529318
  4  3  2       -0.0028010033       -0.0020628076       -0.0010471497
  5  3  2       -0.0025912183       -0.0013337971       -0.0006659462
  6  3  2       -0.0018987913       -0.0007249170       -0.0003636079
  1  4  2        0.0000000000       -0.0035991249       -0.0015024893
  2  4  2       -0.0013690820       -0.0033667178       -0.0013690820
  3  4  2       -0.0020628076       -0.0028010033       -0.0010471497
  4  4  2       -0.0021105231       -0.0021105231       -0.0007274900
  5  4  2       -0.0018875752       -0.0014318646       -0.0004742554
  6  4  2       -0.0015057759       -0.0008824332       -0.0002950993
  1  5  2        0.0000000000       -0.0035330866       -0.0009278215
  2  5  2       -0.0008453773       -0.0032470564       -0.0008453773
  3  5  2       -0.0013337971       -0.0025912183       -0.0006659462
  4  5  2       -0.0014318646       -0.0018875752       -0.0004742554
  5  5  2       -0.0013243641       -0.0013243641       -0.0003319522
  6  5  2       -0.0011492390       -0.0009069802       -0.0002269616
  1  6  2        0.0000000000       -0.0023452558       -0.0004314705
  2  6  2       -0.0004122385       -0.0022161767       -0.0004122385
  3  6  2       -0.0007249170       -0.0018987913       -0.0003636079
  4  6  2       -0.0008824332       -0.0015057759       -0.0002950993
  5  6  2       -0.0009069802       -0.0011492390       -0.0002269616
  6  6  2       -0.0008588034       -0.0008588034       -0.0001705762
  1  1  3        0.0000000000        0.0000000000       -0.0034713091
  2  1  3       -0.0019972354        0.0000000000       -0.0034267476
  3  1  3       -0.0028963510        0.0000000000       -0.0028963510
  4  1  3       -0.0029860881        0.0000000000       -0.0022399973
  5  1  3       -0.0027705948        0.0000000000       -0.0014314161
  6  1  3       -0.0019876015        0.0000000000       -0.0007533269
  1  2  3        0.0000000000       -0.0019972354       -0.0034267476
  2  2  3       -0.0018389654       -0.0018389654       -0.0032250605
  3  2  3       -0.0026905487       -0.0014529318       -0.0026905487
  4  2  3       -0.0028010033       -0.0010471497       -0.0020628076
  5  2  3       -0.0025912183       -0.0006659462       -0.0013337971
  6  2  3       -0.0018987913       -0.0003636079       -0.0007249170
  1  3  3        0.0000000000       -0.0028963510       -0.0028963510
  2  3  3       -0.0014529318       -0.0026905487       -0.0026905487
  3  3  3       -0.0021929588       -0.0021929588       -0.0021929588
