     2    0.10697E+04    0.51491E-01    0.35696E+01
     3    0.10145E+04    0.86517E-01    0.44480E+01
     4    0.95824E+03    0.10063E+00    0.45994E+01
     5    0.91351E+03    0.92839E-01    0.43063E+01
     6    0.88070E+03    0.71706E-01    0.37927E+01
     7    0.85796E+03    0.47791E-01    0.32053E+01
     8    0.84281E+03    0.28502E-01    0.26317E+01
     9    0.83382E+03    0.16511E-01    0.21254E+01
    10    0.82963E+03    0.10833E-01    0.17167E+01
    11    0.82908E+03    0.88816E-02    0.14171E+01
    12    0.83181E+03    0.83021E-02    0.12253E+01
    13    0.83650E+03    0.77274E-02    0.11276E+01
    14    0.84275E+03    0.69329E-02    0.11050E+01
    15    0.85045E+03    0.61789E-02    0.11361E+01
    16    0.85943E+03    0.57527E-02    0.12000E+01
    17    0.86952E+03    0.57846E-02    0.12787E+01
    18    0.87987E+03    0.61408E-02    0.13584E+01
    19    0.89180E+03    0.66361E-02    0.14333E+01
    20    0.90403E+03    0.71601E-02    0.14975E+01
    21    0.91673E+03    0.76871E-02    0.15516E+01
    22    0.92992E+03    0.83073E-02    0.15970E+01
    23    0.94339E+03    0.91316E-02    0.16365E+01
    24    0.95725E+03    0.10224E-01    0.16735E+01
    25    0.97151E+03    0.11611E-01    0.17114E+01
    26    0.98603E+03    0.13268E-01    0.17538E+01
    27    0.10010E+04    0.15156E-01    0.17987E+01
    28    0.10160E+04    0.17260E-01    0.18441E+01
    29    0.10314E+04    0.19568E-01    0.18895E+01
    30    0.10471E+04    0.22077E-01    0.19327E+01
    31    0.10629E+04    0.24791E-01    0.19705E+01
    32    0.10789E+04    0.27701E-01    0.19998E+01
    33    0.10953E+04    0.30800E-01    0.20184E+01
    34    0.11119E+04    0.34092E-01    0.20255E+01
    35    0.11287E+04    0.37585E-01    0.20198E+01
    36    0.11458E+04    0.41295E-01    0.20001E+01
    37    0.11630E+04    0.45244E-01    0.19681E+01
    38    0.11805E+04    0.49456E-01    0.19273E+01
    39    0.11982E+04    0.53933E-01    0.18772E+01
    40    0.12160E+04    0.58678E-01    0.18159E+01
    41    0.12342E+04    0.63698E-01    0.17419E+01
    42    0.12523E+04    0.69003E-01    0.16553E+01
    43    0.12707E+04    0.74607E-01    0.15567E+01
    44    0.12892E+04    0.80506E-01    0.14478E+01
    45    0.13080E+04    0.86707E-01    0.13301E+01
    46    0.13272E+04    0.93217E-01    0.12026E+01
    47    0.13466E+04    0.10002E+00    0.10642E+01
    48    0.13660E+04    0.10711E+00    0.91608E+00
    49    0.13856E+04    0.11446E+00    0.75909E+00
    50    0.14056E+04    0.12201E+00    0.58716E+00
    51    0.14257E+04    0.12974E+00    0.39391E+00
    52    0.14461E+04    0.13774E+00    0.17732E+00
    53    0.14666E+04    0.14617E+00   -0.61704E-01
    54    0.14870E+04    0.15504E+00   -0.31430E+00
    55    0.15076E+04    0.16435E+00   -0.57147E+00
    56    0.15286E+04    0.17397E+00   -0.83176E+00
    57    0.15500E+04    0.18376E+00   -0.10976E+01
    58    0.15717E+04    0.19373E+00   -0.13734E+01
    59    0.15935E+04    0.20387E+00   -0.16639E+01
    60    0.16156E+04    0.21424E+00   -0.19722E+01
    61    0.16381E+04    0.22491E+00   -0.23002E+01
    62    0.16605E+04    0.23588E+00   -0.26469E+01
    63    0.16830E+04    0.24714E+00   -0.30104E+01
    64    0.17059E+04    0.25874E+00   -0.33889E+01
    65    0.17289E+04    0.27067E+00   -0.37799E+01
    66    0.17523E+04    0.28288E+00   -0.41796E+01
    67    0.17758E+04    0.29536E+00   -0.45863E+01
    68    0.17998E+04    0.30810E+00   -0.50007E+01
    69    0.18241E+04    0.32105E+00   -0.54231E+01
    70    0.18487E+04    0.33420E+00   -0.58572E+01
    71    0.18735E+04    0.34752E+00   -0.63071E+01
    72    0.18985E+04    0.36101E+00   -0.67739E+01
    73    0.19236E+04    0.37467E+00   -0.72574E+01
    74    0.19489E+04    0.38852E+00   -0.77557E+01
    75    0.19744E+04    0.40260E+00   -0.82667E+01
    76    0.20000E+04    0.41693E+00   -0.87888E+01
    77    0.20260E+04    0.43148E+00   -0.93212E+01
    78    0.20522E+04    0.44624E+00   -0.98645E+01
    79    0.20787E+04    0.46111E+00   -0.10414E+02
    80    0.21055E+04    0.47606E+00   -0.10971E+02
    81    0.21326E+04    0.49101E+00   -0.11535E+02
    82    0.21600E+04    0.50600E+00   -0.12105E+02
    83    0.21877E+04    0.52105E+00   -0.12684E+02
    84    0.22156E+04    0.53619E+00   -0.13271E+02
    85    0.22437E+04    0.55141E+00   -0.13868E+02
    86    0.22720E+04    0.56677E+00   -0.14474E+02
    87    0.23007E+04    0.58221E+00   -0.15090E+02
    88    0.23294E+04    0.59774E+00   -0.15713E+02
    89    0.23584E+04    0.61332E+00   -0.16344E+02
    90    0.23877E+04    0.62889E+00   -0.16981E+02
    91    0.24171E+04    0.64443E+00   -0.17622E+02
    92    0.24469E+04    0.65992E+00   -0.18268E+02
    93    0.24769E+04    0.67536E+00   -0.18917E+02
    94    0.25070E+04    0.69071E+00   -0.19569E+02
    95    0.25374E+04    0.70596E+00   -0.20224E+02
    96    0.25679E+04    0.72111E+00   -0.20882E+02
    97    0.25987E+04    0.73614E+00   -0.21542E+02
    98    0.26298E+04    0.75105E+00   -0.22202E+02
    99    0.26610E+04    0.76580E+00   -0.22865E+02
   100    0.26925E+04    0.78038E+00   -0.23526E+02
   101    0.27241E+04    0.79486E+00   -0.24188E+02
   102    0.27563E+04    0.80909E+00   -0.24850E+02
